ticker,date,c_x,change,v,h_y,v_y,oneminvol_y,stddev,count,day_ratio_15,lo_breakout,Predictions_change3
AA,2021-05-26,36.55,4.0967283,6092970,0,2,2,7100.2686,38507,6,19,0.4818035960197449
AA,2021-05-27,39.01,6.8673053,7090956,6,4,3,2539.3162,54240,6,19,0.4733154475688934
AA,2021-05-28,39.67,1.7687773,4683009,7,0,6,3206.142,34641,6,13,0.4715195596218109
AAL,2021-04-20,20.37,-2.4593968,50210741,0,18,20,2654.3713,237136,4,0,
AAL,2021-04-22,20.07,2.855783,72635138,2,26,0,3072.0789,290870,4,3,
AAL,2021-04-23,21.11,5.630294,48123875,0,0,0,4340.8467,181637,4,7,
AAL,2021-04-26,22.04,4.452866,44349193,5,0,3,5987.4976,170958,4,12,
AAL,2021-04-27,21.76,0.13611615,26767103,6,0,0,2857.587,110604,3,6,
AAL,2021-04-28,21.7,0.5974265,22572102,0,0,0,2940.5835,87887,3,3,
AAL,2021-04-29,21.3,2.0737326,34430867,8,2,1,2317.9468,128930,4,3,
AAL,2021-04-30,21.72,2.7230046,31608772,0,0,2,6870.234,115475,5,12,0.4871215224266052
AAL,2021-05-03,21.95,1.3351749,27606107,1,0,3,2812.4614,112145,5,10,0.4819532334804535
AAL,2021-05-04,21.42,0.18223235,36050842,0,5,0,2750.901,162361,5,11,0.4855697453022003
AAL,2021-05-05,21.57,2.1008403,27984845,0,0,1,2447.3994,119368,5,11,0.485562115907669
AAL,2021-05-06,21.49,0.8344923,25632584,0,0,2,4014.8716,105864,5,14,0.4863382577896118
AAL,2021-05-07,22.0,3.257329,32022217,14,2,7,2473.233,123395,4,4,0.4860159754753113
AAL,2021-05-10,22.0,2.4545455,32570026,16,3,0,3608.1694,135752,4,9,0.4844212234020233
AAL,2021-05-11,21.57,-1.3636364,37417770,0,10,14,2931.2776,151026,4,9,0.4830856323242187
AAL,2021-05-12,20.76,0.55632824,34605335,0,0,0,2523.7112,146458,4,9,0.4856164455413818
AAL,2021-05-13,21.21,3.1791906,35188531,0,1,1,1977.6062,152342,4,8,0.4883611798286438
AAL,2021-05-14,22.4,5.9877415,39182527,3,13,0,3656.626,153644,4,12,0.4871402084827423
AAL,2021-05-17,23.35,4.464286,40591096,25,14,3,3542.8823,174024,4,19,0.4813319742679596
AAL,2021-05-18,23.56,2.5267665,38662412,28,0,0,2575.762,165093,4,19,0.4760472476482391
AAL,2021-05-19,22.97,-1.2308998,34558205,0,0,0,2364.4854,157963,4,14,0.4777943789958954
AAL,2021-05-20,22.6,0.91423595,33606463,0,0,21,7504.4814,128815,4,38,0.4853278398513794
AAL,2021-05-21,22.57,1.9469026,26246519,0,0,22,3536.9773,102441,4,34,0.4786015450954437
AAL,2021-05-24,22.99,2.1267169,26159274,1,0,0,1911.8739,103089,4,24,0.4821090400218963
AAL,2021-05-25,23.21,5.1326666,50630539,33,22,24,1916.7715,200412,5,25,0.4856609106063843
AAL,2021-05-26,23.9,3.1882808,29812731,0,0,0,2341.1814,119860,5,27,0.4708751738071441
AAL,2021-05-27,24.43,2.4686193,36389471,35,1,0,3140.3906,137315,5,7,0.4803182184696197
AAL,2021-05-28,24.24,1.5963979,31230243,38,0,0,2381.1797,116923,5,7,0.4765151739120483
ACB,2021-04-20,7.65,2.1978023,9370852,5,5,21,2393.5364,51352,3,0,
ACB,2021-04-22,8.0,1.5911872,5644126,1,0,0,902.9737,34068,12,0,
ACB,2021-04-23,8.35,5.5,5053055,8,0,0,836.9783,33998,12,0,
ACB,2021-04-26,8.55,2.754491,7091832,9,3,1,1461.8805,41122,12,2,
ACB,2021-04-27,8.56,2.3391812,4520324,11,0,4,2774.67,27981,12,6,
ACB,2021-04-28,9.05,6.542056,7913690,15,5,0,1573.7687,45843,12,6,
ACB,2021-04-29,8.96,0.3314917,6424183,0,0,34,3577.7131,35292,9,56,
ACB,2021-04-30,8.94,1.1160715,3457350,0,0,0,1033.3928,23504,8,56,0.4799038469791412
ACB,2021-05-03,8.68,-0.33557048,3829368,0,1,1,731.7934,29048,8,54,0.4839588701725006
ACB,2021-05-04,8.67,0.0,3802615,0,0,2,688.18475,32922,10,51,0.485363632440567
ACB,2021-05-05,8.78,1.2687428,4229206,1,3,0,2475.0593,31204,10,54,0.484693318605423
ACB,2021-05-06,8.46,0.0,4680030,0,4,0,1470.9382,30033,10,4,0.4830292463302612
ACB,2021-05-07,8.9,9.4562645,10422871,23,18,2,856.97614,58266,10,4,0.4848615527153015
ACB,2021-05-10,8.4,-0.11235955,4293281,0,0,6,1052.546,30521,10,5,0.4733015596866607
ACB,2021-05-11,8.17,-0.95238096,6163795,0,1,7,1437.6643,37067,10,5,0.4834197759628296
ACB,2021-05-12,7.71,0.12239902,6822969,0,2,0,946.91974,35049,10,5,0.4850314557552337
ACB,2021-05-13,7.32,2.075227,9714648,0,3,1,1335.5021,48144,11,5,0.4858649373054504
ACB,2021-05-14,6.86,-3.0054646,15040041,0,42,61,4040.3955,68106,11,11,0.48389333486557
ACB,2021-05-17,7.02,3.2069972,7042605,0,0,0,1291.5419,35957,11,11,0.4802172482013702
ACB,2021-05-18,7.38,6.267806,5414760,2,0,0,878.42816,31031,11,11,0.4847872853279114
ACB,2021-05-19,7.24,-1.897019,4231701,0,0,1,1299.3352,24028,12,12,0.4844912886619568
ACB,2021-05-20,7.32,2.486188,3329317,1,0,0,737.275,21398,12,11,0.4880802631378174
ACB,2021-05-21,7.6,4.9180326,3838144,5,1,1,888.05725,25701,9,3,0.4875827729701996
ACB,2021-05-24,7.61,0.7894737,6109523,0,4,2,961.507,33580,9,5,0.4860671758651733
ACB,2021-05-25,8.07,8.015769,6440343,9,5,0,578.6495,46400,9,5,0.4865911304950714
ACB,2021-05-26,8.49,7.187113,6172096,11,0,1,668.2598,42658,9,3,0.4811776578426361
ACB,2021-05-27,8.97,5.771496,6299700,13,1,2,959.8346,41453,10,8,0.4796249866485595
ACB,2021-05-28,9.66,7.6923075,22917049,40,71,136,17222.307,79638,10,259,0.4779599606990814
ADMP,2021-04-20,0.68,1.4084507,2449815,0,0,0,3758.3232,4784,6,0,
ADMP,2021-04-22,0.73,2.7027028,1729839,3,0,1,1179.6672,5334,6,0,
ADMP,2021-04-23,0.75,5.479452,2155635,5,2,2,2883.9326,4840,5,1,
ADMP,2021-04-26,0.81,9.333333,2443709,6,3,0,1391.2385,5388,5,1,
ADMP,2021-04-27,0.77,3.7037036,2499564,9,6,0,1366.6927,5821,5,2,
ADMP,2021-04-28,0.86,14.285714,4759037,11,10,14,2645.0369,8087,6,4,
ADMP,2021-04-29,0.79,1.1627907,4167955,0,0,0,1659.4465,8636,6,4,
ADMP,2021-04-30,0.79,3.7974684,2147660,0,0,0,1725.6149,4745,6,3,0.493147999048233
ADMP,2021-05-03,0.76,3.7974684,2028560,0,0,0,1240.4668,5100,6,3,0.4933317303657532
ADMP,2021-05-04,1.07,40.789474,53381455,30,69,58,3140.2837,54668,8,9,0.4936745464801788
ADMP,2021-05-05,0.82,-10.280374,24890488,0,0,0,2744.8994,39239,8,34,0.4825892746448517
ADMP,2021-05-06,0.74,-1.2195122,8176077,0,0,0,2474.6138,13240,10,34,0.489960104227066
ADMP,2021-05-07,0.75,12.162162,11659991,1,1,1,2889.894,14548,10,34,0.4918612539768219
ADMP,2021-05-10,0.73,4.0,5160454,0,0,0,3390.5889,8405,10,36,0.4911575615406036
ADMP,2021-05-11,0.72,0.0,4124677,0,0,0,2987.6208,6865,10,36,0.4917061328887939
ADMP,2021-05-12,0.68,-2.7777777,3085130,0,0,0,2532.7837,6823,10,36,0.4921497404575348
ADMP,2021-05-13,0.66,4.4117646,3342027,1,1,0,2414.763,5777,10,30,0.4926888048648834
ADMP,2021-05-14,0.71,7.5757575,1921967,0,0,0,1838.6075,3897,10,3,0.4926787316799164
ADMP,2021-05-17,0.76,8.450705,3799387,4,3,4,2261.4329,6592,10,5,0.4930426478385925
